source,target,weight,r_dist,it_dist,ct_dist,dist,timestamp,prop
2223.0,19909.0,1.0,32.315252407919616,249436.74507681374,2052566.640401742,2067667.4065547595,2023-12-28 00:00:00,True
5552.0,16455.0,1.0,4859705.92383044,3241714.0567121347,250.22732212767005,5841699.389236957,2023-12-28 00:00:00,True
6125.0,11136.0,1.0,5061005.691498898,1582.3368347818032,2342877.4879297474,5576993.458542165,2023-12-28 00:00:00,True
6680.0,56076.0,1.0,8145521.907357494,12167798.489002503,1920.5072509665042,14642569.818872662,2023-12-28 00:00:00,True
11050.0,23412.0,1.0,81042.39566053078,1660923.2506862404,1166.2436460331082,1662899.6586351166,2023-12-28 00:00:00,True
19909.0,56080.0,1.0,1964577.9979513423,8895507.260251641,1338.1576738245785,9109863.770545095,2023-12-28 00:00:00,True
2223.0,41240.0,1.0,4043889.9548516143,11378745.537719358,563.3381841541268,12075963.576314228,2023-12-28 01:00:00,True
2223.0,51641.0,1.0,13982705.451681055,5604982.5108055435,1546.7384422463365,15064258.464567944,2023-12-28 01:00:00,True
6118.0,23412.0,1.0,15621486.205552747,90.12741281336639,1046485.0631023978,15656499.04243264,2023-12-28 01:00:00,True
10653.0,16455.0,1.0,6878650.712328652,5072697.848731326,1040.5216721033212,8546818.131294724,2023-12-28 01:00:00,True
12854.0,45433.0,1.0,8478140.40340995,7671844.019984564,1218.4647911573702,11433986.918462064,2023-12-28 01:00:00,True
13166.0,37188.0,1.0,49.426918644458055,109321.81726078503,463662.18822862674,476375.7833529946,2023-12-28 01:00:00,True
7679.0,16909.0,1.0,2601917.045860637,1244.3837929144502,5409591.867768293,6002804.181201984,2023-12-28 02:00:00,True
1585.0,11048.0,1.0,13379269.94867276,187.21056256256998,4409871.644145165,14087293.292621594,2023-12-28 03:00:00,True
6853.0,16455.0,1.0,14918347.015536135,4640993.52546813,1871.422460412723,15623568.801065108,2023-12-28 03:00:00,True
10647.0,11047.0,1.0,5185191.812068533,2216166.1294641327,137.9488271572627,5638936.642697493,2023-12-28 03:00:00,True
10933.0,27748.0,1.0,1390593.711207429,1244787.1498534223,1725.2136844582856,1866346.4025877174,2023-12-28 03:00:00,True
27465.0,48788.0,1.0,9846006.920786928,429.1006884193048,7201070.715912057,12198330.702349305,2023-12-28 03:00:00,True
6680.0,27748.0,1.0,5034588.787599291,2983347.914680966,427.7894024550915,5852132.0237376345,2023-12-28 04:00:00,True
10842.0,15822.0,1.0,2267014.3914029542,1349843.7458575517,97.54394648037851,2638452.6523274346,2023-12-28 04:00:00,True
11129.0,27748.0,1.0,4100624.538735087,13801860.012463022,885.1035916367546,14398140.92842234,2023-12-28 04:00:00,True
2223.0,56075.0,1.0,2134509.508455905,15054972.326174192,1879.5469235819764,15205536.035150358,2023-12-28 05:00:00,True
5552.0,13767.0,1.0,960849.6589331925,1642.6240816693753,2001380.5773220696,2220080.850007028,2023-12-28 05:00:00,True
7679.0,19909.0,1.0,100.87950601987541,218161.15504659526,114854.05084381206,246547.66829798307,2023-12-28 05:00:00,True
13762.0,14618.0,1.0,969762.5273280889,9636031.380915778,326.96081791445613,9684706.512863813,2023-12-28 05:00:00,True
19005.0,21750.0,1.0,572547.7094594762,1653165.8070837557,140.59706543013453,1749505.0971876911,2023-12-28 05:00:00,True
5552.0,11047.0,1.0,4175289.2815401554,398531.7909858655,985.6755635524169,4194266.2224192237,2023-12-28 06:00:00,True
6680.0,27748.0,1.0,5432419.354188599,4980900.38201434,1284.3771094465628,7370247.642036055,2023-12-28 06:00:00,True
6853.0,11696.0,1.0,963094.2992457524,4425905.523258635,1750.1355500031495,4529480.47716572,2023-12-28 06:00:00,True
7181.0,48786.0,1.0,12604792.746397624,398.16041782684624,750032.1672697174,12627087.89032963,2023-12-28 06:00:00,True
9592.0,48795.0,1.0,2105195.171349285,7191180.823828418,584.7807982834056,7492991.971998801,2023-12-28 06:00:00,True
21402.0,27465.0,1.0,9010413.898714254,1065.3582732812501,7672297.985852432,11834344.770406451,2023-12-28 06:00:00,True
23412.0,56080.0,1.0,14251280.818956753,1250.0514150927775,1905225.47946594,14378069.782519467,2023-12-28 06:00:00,True
32264.0,43751.0,1.0,15128962.742361825,3960772.0078040515,139.9635761876125,15638837.187501064,2023-12-28 06:00:00,True
43751.0,48793.0,1.0,569620.5399829531,1000.5765774501488,734985.1052300092,929877.2314848482,2023-12-28 06:00:00,True
10647.0,56075.0,1.0,8820270.747546343,1173.1578595722094,2444634.2735086707,9152781.772091715,2023-12-28 07:00:00,True
43372.0,43751.0,1.0,597186.7077766703,43275.1446974501,1882.1358603900298,598755.5799565633,2023-12-28 07:00:00,True
6680.0,27748.0,1.0,5116354.593090493,7167362.721225847,113.43452779186191,8806144.032022389,2023-12-28 08:00:00,True
14175.0,14473.0,1.0,11636291.524957763,731.1246733944863,2130485.6225456437,11829718.930567237,2023-12-28 08:00:00,True
15822.0,23411.0,1.0,4693493.390670981,2233434.706980899,1939.1173693165183,5197799.0110041015,2023-12-28 08:00:00,True
21750.0,56077.0,1.0,5062743.945821678,4084708.3803078756,1009.2503521963954,6505091.838836537,2023-12-28 08:00:00,True
23493.0,56076.0,1.0,8239862.660400482,10836422.965951368,506.8987996899523,13613353.724053701,2023-12-28 08:00:00,True
5552.0,16455.0,1.0,7395447.519593653,4088220.191864363,1967.3467047428712,8450218.4718908,2023-12-28 09:00:00,True
5552.0,16455.0,1.0,6953724.238251191,4899944.557649516,918.0142504181713,8506687.856764898,2023-12-28 10:00:00,True
