source,target,weight,r_dist,it_dist,ct_dist,dist,datetime,prop
3341.0,55205.0,1.0,13733016.161114294,6846185.359145639,1610.456455944106,15344901.089507762,2023-12-28 00:00:00,True
31722.0,57388.0,1.0,7540240.611091159,1761.5510107204318,4762271.448055338,8918209.513191167,2023-12-28 00:00:00,True
33064.0,46148.0,1.0,7818994.328388024,10957994.611304231,983.080086171627,13461586.800046386,2023-12-28 00:00:00,True
47745.0,53719.0,1.0,3562511.96831771,365.7933845091611,355794.92333992664,3580234.864598437,2023-12-28 00:00:00,True
34634.0,57779.0,1.0,4781141.210451782,11113238.112966023,1690.1789409047924,12098073.21380003,2023-12-28 01:00:00,True
43879.0,56535.0,1.0,2941906.3070104714,5748433.640140717,564.5762930521305,6457499.698263705,2023-12-28 01:00:00,True
44765.0,56109.0,1.0,12254159.928813454,1294168.5799641632,750.3400874044746,12322309.379224094,2023-12-28 01:00:00,True
49428.0,58213.0,1.0,4592353.243685324,4356619.29016321,1739.5547377893236,6330074.48457441,2023-12-28 01:00:00,True
51461.0,56535.0,1.0,13364913.466855552,1612.8241776081268,1713219.0268444146,13474273.042048704,2023-12-28 01:00:00,True
54314.0,54400.0,1.0,359.0768347270787,83674.45192060154,413192.84871836216,421580.20953595726,2023-12-28 01:00:00,True
53732.0,55885.0,1.0,459335.6012238795,526.7135923681781,1551880.095168925,1618431.7414585091,2023-12-28 02:00:00,True
47747.0,53729.0,1.0,4216905.731552732,121.54839678667486,142055.52254499774,4219297.777481678,2023-12-28 02:00:00,True
56533.0,57782.0,1.0,2197027.0511485916,1638924.8392424965,1062.118580549024,2740985.8847248005,2023-12-28 02:00:00,True
27226.0,49428.0,1.0,514362.38713190146,1062899.3182703294,1020.2879429524764,1180815.2552635174,2023-12-28 02:00:00,True
27226.0,44744.0,1.0,11001935.80716807,573.5425930144265,3015027.762986982,11407584.505300863,2023-12-28 02:00:00,True
43879.0,47881.0,1.0,5131765.0283022495,4210793.24370663,61.68081515934318,6638206.990653117,2023-12-28 02:00:00,True
21346.0,54895.0,1.0,272613.6237934511,689.3035166123882,217836.02768630534,348957.3010774873,2023-12-28 03:00:00,True
33062.0,46707.0,1.0,13939133.119370919,112819.03304838913,1159.3296082897868,13939589.721286863,2023-12-28 03:00:00,True
47811.0,55869.0,1.0,3940149.8080436075,13040011.927599154,1847.095662084408,13622286.702074533,2023-12-28 03:00:00,True
53731.0,55869.0,1.0,489798.1483514039,1651.3391017820686,868556.0336035881,997143.187590674,2023-12-28 03:00:00,True
56345.0,56533.0,1.0,168.50719271972775,7159069.706987573,2475615.2189291595,7575021.439579922,2023-12-28 04:00:00,True
27575.0,53242.0,1.0,423580.06155545724,501615.1846094637,1255.634936057264,656535.9385419841,2023-12-28 04:00:00,True
21346.0,58213.0,1.0,10345019.676751008,1018.2404499799013,1671248.298888686,10479146.149649668,2023-12-28 04:00:00,True
3341.0,55205.0,1.0,1321417.7842307778,4719354.418151537,1170.7035329781938,4900862.419529299,2023-12-28 05:00:00,True
17725.0,44765.0,1.0,212297.38022231776,1537.1531548332423,158177.4518301785,264750.15912472876,2023-12-28 05:00:00,True
21346.0,39768.0,1.0,7755850.17699368,6053657.307572803,1452.3910664456198,9838698.12906882,2023-12-28 05:00:00,True
37967.0,44732.0,1.0,748635.495802246,1463.2100916127674,2371271.363247153,2486641.3341523255,2023-12-28 05:00:00,True
43487.0,44732.0,1.0,1006837.1556134075,4049989.9258702593,939.0935609128792,4173264.9495893503,2023-12-28 05:00:00,True
47811.0,49427.0,1.0,14257.795306589454,65.94939828664064,240854.54104419868,241276.18825308752,2023-12-28 05:00:00,True
54901.0,55205.0,1.0,246954.245298516,4285281.818153741,1151.9739598077722,4292391.872524455,2023-12-28 06:00:00,True
50191.0,56345.0,1.0,6557773.017251411,5383268.967755766,1096.2198818067554,8484336.917325417,2023-12-28 06:00:00,True
54176.0,57782.0,1.0,8843438.29062781,1720.508639138774,6731649.240140713,11114022.91038574,2023-12-28 06:00:00,True
46707.0,49432.0,1.0,1486084.9080567043,13555935.475278191,1256.1021557385102,13637149.135418747,2023-12-28 06:00:00,True
47745.0,54302.0,1.0,118.5608076993376,4806995.484814858,1717491.9656346305,5104604.221397248,2023-12-28 06:00:00,True
39768.0,53638.0,1.0,11369681.643550972,4960170.67055347,1340.8847166275373,12404553.823281618,2023-12-28 07:00:00,True
44765.0,52335.0,1.0,2564329.7566041593,206973.57032734342,593.5078852362931,2572668.9471580293,2023-12-28 07:00:00,True
47774.0,49425.0,1.0,5023077.80127424,12328150.502408898,1695.3590774359182,13312197.725467468,2023-12-28 07:00:00,True
47844.0,53729.0,1.0,10111974.466843145,9185595.065726638,710.6310621150769,13661156.057764135,2023-12-28 07:00:00,True
48362.0,54187.0,1.0,4536990.561143238,596433.4994867444,1817.298816201277,4576026.61419138,2023-12-28 07:00:00,True
21346.0,55205.0,1.0,1339556.7609950928,35425.747448387556,1772.40583610069,1340026.2836722229,2023-12-28 08:00:00,True
17912.0,47745.0,1.0,537233.4862537291,449044.1088746153,1054.1455640159547,700186.7905710612,2023-12-28 08:00:00,True
47806.0,54901.0,1.0,3075290.479797638,208.84584191348404,179782.07480639592,3080541.0520186652,2023-12-28 08:00:00,True
21346.0,54901.0,1.0,5516959.619863783,2209430.109060265,128.1594846220687,5942930.66343992,2023-12-28 09:00:00,True
46707.0,53638.0,1.0,9755974.921851581,4571770.972406036,727.5537279166747,10774049.240154132,2023-12-28 09:00:00,True
