val_loss,val_accuracy,val_f1,val_tn,val_fp,val_fn,val_tp,epoch,step,train_loss,train_accuracy,train_f1,train_tn,train_fp,train_fn,train_tp,test_loss,test_accuracy,test_f1,test_tn,test_fp,test_fn,test_tp
0.461007274566877,0.7190603017807007,0.7593779456787259,11948.1640625,9729.470703125,2353.83935546875,19323.794921875,0,831,,,,,,,,,,,,,,
,,,,,,,0,831,0.47388194538631995,0.6843529343605042,0.7376863591210392,11124.732421875,12048.923828125,2513.73681640625,20659.919921875,,,,,,,
0.4572197875350534,0.7168256640434265,0.7596632474376531,11670.2919921875,10007.3427734375,2179.890625,19497.744140625,1,1663,,,,,,,,,,,,,,
,,,,,,,1,1663,0.4529585207235701,0.7192642688751221,0.7617008874246971,12525.7705078125,10647.8857421875,2242.441162109375,20931.216796875,,,,,,,
0.4561759871233288,0.718502938747406,0.7614387048627203,11668.8828125,10008.751953125,2109.317626953125,19568.318359375,2,2495,,,,,,,,,,,,,,
,,,,,,,2,2495,0.4512456153087492,0.7207342386245728,0.7633468742126747,12511.0146484375,10662.6416015625,2167.474853515625,21006.177734375,,,,,,,
0.4560167525954775,0.7189079523086548,0.7618947556556329,11665.8974609375,10011.7373046875,2089.872314453125,19587.763671875,3,3327,,,,,,,,,,,,,,
,,,,,,,3,3327,0.44980895853339853,0.721855103969574,0.7645813142643243,12501.02734375,10672.62890625,2111.594970703125,21062.06640625,,,,,,,
0.4566153187723169,0.7160360813140869,0.7604344660829306,11501.72265625,10175.912109375,2050.83203125,19626.802734375,4,4159,,,,,,,,,,,,,,
,,,,,,,4,4159,0.4491764862895856,0.7228308916091919,0.7654651509671271,12522.990234375,10650.666015625,2084.703125,21088.947265625,,,,,,,
0.4558658580508761,0.7161835432052612,0.7605604547310814,11505.05859375,10172.576171875,2047.912353515625,19629.72265625,5,4991,,,,,,,,,,,,,,
,,,,,,,5,4991,0.44840429498246165,0.7236138582229614,0.7661859755224766,12535.3681640625,10638.2880859375,2060.978271484375,21112.6875,,,,,,,
0.455050393219386,0.7185376286506653,0.7620819872945046,11605.3759765625,10072.2587890625,2046.8138427734375,19630.8203125,6,5823,,,,,,,,,,,,,,
,,,,,,,6,5823,0.44777194596486153,0.7240215539932251,0.7666379545421411,12533.236328125,10640.419921875,2041.2547607421875,21132.3984375,,,,,,,
0.45518364808683115,0.7184666395187378,0.76216022253694,11590.4306640625,10087.2041015625,2035.003662109375,19642.630859375,7,6655,,,,,,,,,,,,,,
,,,,,,,7,6655,0.44760668157834604,0.7240375280380249,0.7667366077736018,12531.8525390625,10641.8037109375,2032.329345703125,21141.322265625,,,,,,,
0.4546943247827488,0.7198693752288818,0.7632010294817073,11637.6533203125,10039.9814453125,2021.2080078125,19656.427734375,8,7487,,,,,,,,,,,,,,
,,,,,,,8,7487,0.4472915271701296,0.7243064045906067,0.7669598701330578,12547.107421875,10626.548828125,2027.433837890625,21146.220703125,,,,,,,
0.4548599768453254,0.7207317352294922,0.7636903434076554,11683.083984375,9994.55078125,2028.36865234375,19649.265625,9,8319,,,,,,,,,,,,,,
,,,,,,,9,8319,0.44742237819048,0.724168062210083,0.7668448339879783,12543.66796875,10629.98828125,2030.206787109375,21143.451171875,,,,,,,
0.4548599768453254,0.7207317352294922,0.7636903434076554,11683.083984375,9994.55078125,2028.36865234375,19649.265625,10,9151,,,,,,,,,,,,,,
,,,,,,,10,9151,0.4521438516322695,0.7223374247550964,0.7660159353908003,12421.1611328125,10752.4951171875,1993.62744140625,21180.033203125,,,,,,,
0.45508171274193426,0.720513641834259,0.7635729746100638,11671.634765625,10006.0,2026.138671875,19651.49609375,11,9983,,,,,,,,,,,,,,
,,,,,,,11,9983,0.44737021281458966,0.7242639064788818,0.7669710116022054,12541.119140625,10632.537109375,2022.9122314453125,21150.75,,,,,,,
0.4546744585657069,0.719779908657074,0.7631323674327438,11635.970703125,10041.6640625,2022.6788330078125,19654.95703125,12,10815,,,,,,,,,,,,,,
,,,,,,,12,10815,0.4468700493533524,0.7246999740600586,0.7673776424767992,12545.8125,10627.84375,2009.31494140625,21164.34375,,,,,,,
0.4545850544414316,0.7190483808517456,0.7625497648724631,11614.66015625,10062.974609375,2033.6021728515625,19644.033203125,13,11647,,,,,,,,,,,,,,
,,,,,,,13,11647,0.4470405491696678,0.7244142293930054,0.7671597757089003,12523.3544921875,10650.3017578125,2012.188720703125,21161.46484375,,,,,,,
0.45514126511665937,0.7179552912712097,0.7618361921522072,11567.7119140625,10109.923828125,2034.5474853515625,19643.087890625,14,12479,,,,,,,,,,,,,,
,,,,,,,14,12479,0.4470625187220532,0.7244148850440979,0.7671468471702674,12523.546875,10650.109375,2013.2415771484375,21160.408203125,,,,,,,
0.4548612541014264,0.7174652814865112,0.7614183716427508,11556.9091796875,10120.7265625,2044.7445068359375,19632.890625,15,13311,,,,,,,,,,,,,,
,,,,,,,15,13311,0.44715714961558045,0.7243315577507019,0.7671081878374937,12515.4384765625,10658.2177734375,2010.8809814453125,21162.7734375,,,,,,,
0.45450022157937303,0.7207527756690979,0.7635032519189439,11703.4599609375,9974.1748046875,2048.1787109375,19629.45703125,16,14143,,,,,,,,,,,,,,
,,,,,,,16,14143,0.4472778088136323,0.7256425619125366,0.7676592670217617,12603.15625,10570.5,2043.376220703125,21130.2734375,,,,,,,
0.45343887265566424,0.7233075499534607,0.765333297448348,11794.89453125,9882.7412109375,2029.8758544921875,19647.759765625,17,14975,,,,,,,,,,,,,,
